i	height	delta	push_m	rock_m	push_i
92	140	2	537	2	537
93	143	3	542	3	542
94	143	0	546	4	546
95	145	2	554	0	554
96	145	0	558	1	558
97	147	2	564	2	564
98	149	2	569	3	569
99	151	2	574	4	574
100	153	2	580	0	580
101	154	1	584	1	584
102	157	3	588	2	588
103	160	3	592	3	592
104	160	0	596	4	596
105	160	0	614	0	614
106	161	1	620	1	620
107	164	3	624	2	624
108	167	3	628	3	628
109	167	0	632	4	632
110	167	0	656	0	656
111	168	1	662	1	662
112	171	3	666	2	666
113	174	3	670	3	670
114	178	4	674	4	674
115	178	0	678	0	678
116	179	1	688	1	688
117	181	2	692	2	692
118	183	2	697	3	697
119	185	2	702	4	702
120	185	0	708	0	708
121	186	1	718	1	718
122	188	2	722	2	722
123	190	2	727	3	727
124	192	2	732	4	732
125	194	2	738	0	738
126	195	1	742	1	742
127	197	2	746	2	746
128	199	2	751	3	751
129	203	4	756	4	756
130	205	2	760	0	760
131	205	0	764	1	764
132	205	0	776	2	776
133	205	0	787	3	787
134	206	1	795	4	795
135	208	2	802	0	802
136	209	1	806	1	806
137	212	3	810	2	810
138	214	2	814	3	814
139	218	4	819	4	819
140	220	2	823	0	823
141	221	1	827	1	827
142	224	3	831	2	831
143	224	0	835	3	835
144	227	3	842	4	842
145	227	0	847	0	847
146	227	0	854	1	854
147	229	2	859	2	859
148	230	1	864	3	864
149	232	2	870	4	870
150	232	0	876	0	876
151	233	1	882	1	882
152	235	2	886	2	886
153	236	1	891	3	891
154	240	4	897	4	897
155	240	0	901	0	901
156	240	0	910	1	910
157	242	2	917	2	917
158	242	0	922	3	922
159	243	1	930	4	930
160	243	0	937	0	937
161	244	1	945	1	945
162	246	2	949	2	949
163	247	1	954	3	954
164	250	3	960	4	960
165	250	0	965	0	965
166	251	1	972	1	972
167	254	3	976	2	976
168	257	3	980	3	980
169	257	0	984	4	984
170	257	0	1000	0	1000
171	258	1	1006	1	1006
172	261	3	1010	2	1010
173	261	0	1014	3	1014
174	261	0	1021	4	1021
175	263	2	1035	0	1035
176	264	1	1039	1	1039
177	266	2	1043	2	1043
178	269	3	1048	3	1048
179	269	0	1052	4	1052
180	269	0	1065	0	1065
181	270	1	1073	1	1073
182	272	2	1077	2	1077
183	273	1	1082	3	1082
184	276	3	1088	4	1088
185	278	2	1093	0	1093
186	279	1	1097	1	1097
187	281	2	1101	2	1101
188	283	2	1106	3	1106
189	285	2	1111	4	1111
190	287	2	1117	0	1117
191	288	1	1121	1	1121
192	290	2	1125	2	1125
193	292	2	1130	3	1130
194	294	2	1135	4	1135
195	296	2	1141	0	1141
196	297	1	1145	1	1145
197	300	3	1149	2	1149
198	302	2	1153	3	1153
199	304	2	1158	4	1158
200	304	0	1164	0	1164
201	305	1	1170	1	1170
202	308	3	1174	2	1174
203	311	3	1178	3	1178
204	311	0	1182	4	1182
205	311	0	1192	0	1192
206	312	1	1198	1	1198
207	315	3	1202	2	1202
208	315	0	1206	3	1206
209	315	0	1213	4	1213
210	317	2	1232	0	1232
211	318	1	1236	1	1236
212	320	2	1240	2	1240
213	323	3	1245	3	1245
214	323	0	1249	4	1249
215	323	0	1258	0	1258
216	324	1	1267	1	1267
217	326	2	1271	2	1271
218	327	1	1276	3	1276
219	329	2	1282	4	1282
220	329	0	1288	0	1288
221	330	1	1296	1	1296
222	333	3	1300	2	1300
223	335	2	1304	3	1304
224	335	0	1309	4	1309
225	335	0	1344	0	1344
226	336	1	1350	1	1350
227	338	2	1354	2	1354
228	339	1	1359	3	1359
229	341	2	1365	4	1365
230	341	0	1371	0	1371
231	342	1	1379	1	1379
232	345	3	1383	2	1383
233	348	3	1387	3	1387
234	348	0	1391	4	1391
235	348	0	1401	0	1401
236	349	1	1407	1	1407
237	352	3	1411	2	1411
238	355	3	1415	3	1415
239	357	2	1419	4	1419
240	357	0	1425	0	1425
241	358	1	1433	1	1433
242	360	2	1437	2	1437
243	363	3	1442	3	1442
244	367	4	1446	4	1446
245	369	2	1450	0	1450
246	370	1	1454	1	1454
247	373	3	1458	2	1458
248	376	3	1462	3	1462
249	380	4	1466	4	1466
250	380	0	1470	0	1470
251	381	1	1480	1	1480
252	384	3	1484	2	1484
253	384	0	1488	3	1488
254	388	4	1495	4	1495
255	388	0	1499	0	1499
256	389	1	1507	1	1507
257	391	2	1511	2	1511
258	393	2	1516	3	1516
259	395	2	1521	4	1521
260	397	2	1527	0	1527
261	398	1	1531	1	1531
262	398	0	1535	2	1535
263	401	3	1545	3	1545
264	403	2	1549	4	1549
265	403	0	1555	0	1555
266	404	1	1561	1	1561
267	404	0	1565	2	1565
268	407	3	1576	3	1576
269	408	1	1580	4	1580
270	408	0	1587	0	1587
271	408	0	1594	1	1594
272	411	3	1599	2	1599
273	414	3	1603	3	1603
274	416	2	1607	4	1607
275	416	0	1613	0	1613
276	417	1	1625	1	1625
277	419	2	1629	2	1629
278	421	2	1634	3	1634
279	421	0	1639	4	1639
280	423	2	1647	0	1647
281	423	0	1651	1	1651
282	426	3	1657	2	1657
283	428	2	1661	3	1661
284	432	4	1666	4	1666
285	432	0	1670	0	1670
286	433	1	1680	1	1680
287	435	2	1684	2	1684
288	438	3	1689	3	1689
289	442	4	1693	4	1693
290	444	2	1697	0	1697
291	445	1	1701	1	1701
292	447	2	1705	2	1705
293	448	1	1710	3	1710
294	450	2	1716	4	1716
295	450	0	1722	0	1722
296	450	0	1729	1	1729
297	452	2	1734	2	1734
298	454	2	1739	3	1739
299	456	2	1744	4	1744
300	458	2	1750	0	1750
301	459	1	1754	1	1754
302	461	2	1758	2	1758
303	463	2	1763	3	1763
304	463	0	1768	4	1768
305	463	0	1785	0	1785
306	464	1	1791	1	1791
307	467	3	1795	2	1795
308	470	3	1799	3	1799
309	470	0	1803	4	1803
310	470	0	1813	0	1813
311	470	0	1819	1	1819
312	472	2	1825	2	1825
313	474	2	1830	3	1830
314	474	0	1835	4	1835
315	476	2	1843	0	1843
316	477	1	1847	1	1847
317	479	2	1851	2	1851
318	480	1	1856	3	1856
319	480	0	1862	4	1862
320	480	0	1874	0	1874
321	481	1	1880	1	1880
322	481	0	1884	2	1884
323	484	3	1891	3	1891
324	488	4	1895	4	1895
325	490	2	1899	0	1899
326	491	1	1903	1	1903
327	494	3	1907	2	1907
328	497	3	1911	3	1911
329	499	2	1915	4	1915
330	501	2	1921	0	1921
331	502	1	1925	1	1925
332	505	3	1929	2	1929
333	507	2	1933	3	1933
334	508	1	1938	4	1938
335	508	0	1945	0	1945
336	509	1	1956	1	1956
337	511	2	1960	2	1960
338	512	1	1965	3	1965
339	516	4	1971	4	1971
340	518	2	1975	0	1975
341	519	1	1979	1	1979
342	520	1	1983	2	1983
343	522	2	1989	3	1989
344	524	2	1994	4	1994
345	524	0	2000	0	2000
346	525	1	2008	1	2008
347	528	3	2012	2	2012
348	530	2	2016	3	2016
349	532	2	2021	4	2021
350	532	0	2027	0	2027
351	533	1	2038	1	2038
352	536	3	2042	2	2042
353	539	3	2046	3	2046
354	539	0	2050	4	2050
355	539	0	2066	0	2066
356	540	1	2072	1	2072
357	543	3	2076	2	2076
358	545	2	2080	3	2080
359	547	2	2085	4	2085
360	547	0	2091	0	2091
361	548	1	2097	1	2097
362	551	3	2101	2	2101
363	554	3	2105	3	2105
364	554	0	2109	4	2109
365	554	0	2119	0	2119
366	555	1	2125	1	2125
367	558	3	2129	2	2129
368	558	0	2133	3	2133
369	560	2	2140	4	2140
370	560	0	2146	0	2146
371	561	1	2152	1	2152
372	564	3	2156	2	2156
373	566	2	2160	3	2160
374	568	2	2165	4	2165
375	568	0	2171	0	2171
376	569	1	2177	1	2177
377	571	2	2181	2	2181
378	572	1	2186	3	2186
379	574	2	2192	4	2192
380	576	2	2198	0	2198
381	576	0	2202	1	2202
382	578	2	2210	2	2210
383	581	3	2215	3	2215
384	581	0	2219	4	2219
385	581	0	2234	0	2234
386	582	1	2240	1	2240
387	584	2	2244	2	2244
388	587	3	2249	3	2249
389	587	0	2253	4	2253
390	587	0	2262	0	2262
391	588	1	2268	1	2268
392	591	3	2272	2	2272
393	594	3	2276	3	2276
394	598	4	2280	4	2280
395	598	0	2284	0	2284
396	599	1	2294	1	2294
397	602	3	2298	2	2298
398	605	3	2302	3	2302
399	609	4	2306	4	2306
400	611	2	2310	0	2310
401	611	0	2314	1	2314
402	611	0	2326	2	2326
403	611	0	2337	3	2337
404	612	1	2345	4	2345
405	613	1	2352	0	2352
406	613	0	2357	1	2357
407	616	3	2362	2	2362
408	619	3	2366	3	2366
409	621	2	2370	4	2370
410	621	0	2376	0	2376
411	622	1	2382	1	2382
412	625	3	2386	2	2386
413	628	3	2390	3	2390
414	628	0	2394	4	2394
415	628	0	2411	0	2411
416	629	1	2417	1	2417
417	632	3	2421	2	2421
418	632	0	2425	3	2425
419	636	4	2432	4	2432
420	636	0	2436	0	2436
421	636	0	2445	1	2445
422	637	1	2452	2	2452
423	640	3	2458	3	2458
424	642	2	2462	4	2462
425	642	0	2468	0	2468
426	643	1	2476	1	2476
427	646	3	2480	2	2480
428	649	3	2484	3	2484
429	649	0	2488	4	2488
430	649	0	2498	0	2498
431	650	1	2504	1	2504
432	653	3	2508	2	2508
433	655	2	2512	3	2512
434	656	1	2517	4	2517
435	656	0	2524	0	2524
436	656	0	2531	1	2531
437	659	3	2536	2	2536
438	662	3	2540	3	2540
439	666	4	2544	4	2544
440	668	2	2548	0	2548
441	669	1	2552	1	2552
442	672	3	2556	2	2556
443	674	2	2560	3	2560
444	678	4	2565	4	2565
445	678	0	2569	0	2569
446	679	1	2580	1	2580
447	682	3	2584	2	2584
448	682	0	2588	3	2588
449	686	4	2595	4	2595
450	686	0	2599	0	2599
451	686	0	2607	1	2607
452	688	2	2613	2	2613
453	691	3	2618	3	2618
454	695	4	2622	4	2622
455	695	0	2626	0	2626
456	696	1	2640	1	2640
457	699	3	2644	2	2644
458	701	2	2648	3	2648
459	703	2	2653	4	2653
460	703	0	2659	0	2659
461	704	1	2667	1	2667
462	707	3	2671	2	2671
463	707	0	2675	3	2675
464	709	2	2682	4	2682
465	711	2	2688	0	2688
466	712	1	2692	1	2692
467	714	2	2696	2	2696
468	715	1	2701	3	2701
469	717	2	2707	4	2707
470	717	0	2713	0	2713
471	718	1	2720	1	2720
472	718	0	2724	2	2724
473	721	3	2731	3	2731
474	722	1	2735	4	2735
475	724	2	2742	0	2742
476	725	1	2746	1	2746
477	728	3	2750	2	2750
478	731	3	2754	3	2754
479	733	2	2758	4	2758
480	733	0	2764	0	2764
481	734	1	2776	1	2776
482	736	2	2780	2	2780
483	739	3	2785	3	2785
484	741	2	2789	4	2789
485	743	2	2795	0	2795
486	744	1	2799	1	2799
487	744	0	2803	2	2803
488	747	3	2812	3	2812
489	748	1	2816	4	2816
490	748	0	2823	0	2823
491	748	0	2833	1	2833
492	751	3	2838	2	2838
493	751	0	2842	3	2842
494	754	3	2849	4	2849
495	756	2	2854	0	2854
496	757	1	2858	1	2858
497	760	3	2862	2	2862
498	760	0	2866	3	2866
499	764	4	2873	4	2873
500	764	0	2877	0	2877
501	764	0	2885	1	2885
502	766	2	2891	2	2891
503	766	0	2896	3	2896
504	768	2	2903	4	2903
505	770	2	2909	0	2909
506	771	1	2913	1	2913
507	773	2	2917	2	2917
508	776	3	2922	3	2922
509	776	0	2926	4	2926
510	776	0	2935	0	2935
511	777	1	2941	1	2941
512	780	3	2945	2	2945
513	783	3	2949	3	2949
514	783	0	2953	4	2953
515	783	0	2964	0	2964
516	783	0	2974	1	2974
517	785	2	2980	2	2980
518	787	2	2985	3	2985
519	789	2	2990	4	2990
520	789	0	2996	0	2996
521	790	1	3005	1	3005
522	793	3	3009	2	3009
523	793	0	3013	3	3013
524	796	3	3020	4	3020
525	798	2	3025	0	3025
526	799	1	3029	1	3029
527	801	2	3033	2	3033
528	803	2	3038	3	3038
529	805	2	3043	4	3043
530	805	0	3049	0	3049
531	805	0	3057	1	3057
532	807	2	3063	2	3063
533	809	2	3068	3	3068
534	809	0	3073	4	3073
535	811	2	3099	0	3099
536	812	1	3103	1	3103
537	812	0	3107	2	3107
538	815	3	3117	3	3117
539	816	1	3121	4	3121
540	816	0	3128	0	3128
541	816	0	3135	1	3135
542	819	3	3140	2	3140
543	822	3	3144	3	3144
544	826	4	3148	4	3148
545	826	0	3152	0	3152
546	826	0	3162	1	3162
547	828	2	3170	2	3170
548	831	3	3175	3	3175
549	831	0	3179	4	3179
550	831	0	3191	0	3191
551	831	0	3199	1	3199
552	832	1	3205	2	3205
553	835	3	3211	3	3211
554	839	4	3215	4	3215
555	839	0	3219	0	3219
556	839	0	3229	1	3229
557	839	0	3237	2	3237
558	842	3	3244	3	3244
559	842	0	3248	4	3248
560	842	0	3256	0	3256
561	843	1	3262	1	3262
562	846	3	3266	2	3266
563	848	2	3270	3	3270
564	849	1	3275	4	3275
565	850	1	3282	0	3282
566	851	1	3287	1	3287
567	854	3	3291	2	3291
568	854	0	3295	3	3295
569	854	0	3302	4	3302
570	856	2	3314	0	3314
571	857	1	3318	1	3318
572	860	3	3322	2	3322
573	862	2	3326	3	3326
574	864	2	3331	4	3331
575	864	0	3337	0	3337
576	865	1	3345	1	3345
577	868	3	3349	2	3349
578	870	2	3353	3	3353
579	870	0	3358	4	3358
580	870	0	3380	0	3380
581	871	1	3386	1	3386
582	874	3	3390	2	3390
583	876	2	3394	3	3394
584	877	1	3399	4	3399
585	879	2	3406	0	3406
586	880	1	3410	1	3410
587	882	2	3414	2	3414
588	883	1	3419	3	3419
589	885	2	3425	4	3425
590	887	2	3431	0	3431
591	888	1	3435	1	3435
592	891	3	3439	2	3439
593	894	3	3443	3	3443
594	894	0	3447	4	3447
595	894	0	3457	0	3457
596	895	1	3463	1	3463
597	898	3	3467	2	3467
598	900	2	3471	3	3471
599	901	1	3476	4	3476
600	902	1	3483	0	3483
601	903	1	3488	1	3488
602	906	3	3492	2	3492
603	909	3	3496	3	3496
604	911	2	3500	4	3500
605	913	2	3506	0	3506
606	914	1	3510	1	3510
607	917	3	3514	2	3514
608	917	0	3518	3	3518
609	920	3	3525	4	3525
610	920	0	3530	0	3530
611	921	1	3539	1	3539
612	924	3	3543	2	3543
613	926	2	3547	3	3547
614	928	2	3552	4	3552
615	928	0	3558	0	3558
616	929	1	3564	1	3564
617	931	2	3568	2	3568
618	932	1	3573	3	3573
619	934	2	3579	4	3579
620	934	0	3585	0	3585
621	935	1	3592	1	3592
622	938	3	3596	2	3596
623	940	2	3600	3	3600
624	941	1	3605	4	3605
625	942	1	3612	0	3612
626	943	1	3617	1	3617
627	945	2	3621	2	3621
628	947	2	3626	3	3626
629	949	2	3631	4	3631
630	949	0	3637	0	3637
631	950	1	3646	1	3646
632	953	3	3650	2	3650
633	953	0	3654	3	3654
634	955	2	3661	4	3661
635	957	2	3667	0	3667
636	958	1	3671	1	3671
637	961	3	3675	2	3675
638	963	2	3679	3	3679
639	965	2	3684	4	3684
640	965	0	3690	0	3690
641	966	1	3706	1	3706
642	968	2	3710	2	3710
643	969	1	3715	3	3715
644	972	3	3721	4	3721
645	972	0	3726	0	3726
646	973	1	3735	1	3735
647	976	3	3739	2	3739
648	976	0	3743	3	3743
649	980	4	3750	4	3750
650	982	2	3754	0	3754
651	983	1	3758	1	3758
652	986	3	3762	2	3762
653	989	3	3766	3	3766
654	989	0	3770	4	3770
655	991	2	3788	0	3788
656	992	1	3792	1	3792
657	995	3	3796	2	3796
658	998	3	3800	3	3800
659	1000	2	3804	4	3804
660	1002	2	3810	0	3810
661	1002	0	3814	1	3814
662	1002	0	3822	2	3822
663	1005	3	3829	3	3829
664	1007	2	3833	4	3833
665	1007	0	3839	0	3839
666	1008	1	3847	1	3847
667	1011	3	3851	2	3851
668	1013	2	3855	3	3855
669	1017	4	3860	4	3860
670	1017	0	3864	0	3864
671	1018	1	3874	1	3874
672	1018	0	3878	2	3878
673	1021	3	3890	3	3890
674	1021	0	3894	4	3894
675	1023	2	3907	0	3907
676	1024	1	3911	1	3911
677	1026	2	3915	2	3915
678	1029	3	3920	3	3920
679	1029	0	3924	4	3924
680	1031	2	3933	0	3933
681	1032	1	3937	1	3937
682	1033	1	3941	2	3941
683	1036	3	3947	3	3947
684	1040	4	3951	4	3951
685	1040	0	3955	0	3955
686	1040	0	3965	1	3965
687	1042	2	3977	2	3977
688	1042	0	3982	3	3982
689	1042	0	3995	4	3995
690	1044	2	4007	0	4007
691	1044	0	4011	1	4011
692	1045	1	4018	2	4018
693	1048	3	4024	3	4024
694	1052	4	4028	4	4028
695	1052	0	4032	0	4032
696	1053	1	4042	1	4042
697	1056	3	4046	2	4046
698	1056	0	4050	3	4050
699	1056	0	4057	4	4057
700	1058	2	4073	0	4073
701	1058	0	4077	1	4077
702	1061	3	4083	2	4083
703	1064	3	4087	3	4087
704	1064	0	4091	4	4091
705	1064	0	4102	0	4102
706	1065	1	4108	1	4108
707	1068	3	4112	2	4112
708	1068	0	4116	3	4116
709	1070	2	4123	4	4123
710	1070	0	4129	0	4129
711	1070	0	4135	1	4135
712	1072	2	4141	2	4141
713	1074	2	4146	3	4146
714	1075	1	4151	4	4151
715	1075	0	4158	0	4158
716	1076	1	4165	1	4165
717	1077	1	4169	2	4169
718	1079	2	4175	3	4175
719	1080	1	4180	4	4180
720	1082	2	4187	0	4187
721	1083	1	4191	1	4191
722	1086	3	4195	2	4195
723	1088	2	4199	3	4199
724	1090	2	4204	4	4204
725	1090	0	4210	0	4210
726	1091	1	4218	1	4218
727	1094	3	4222	2	4222
728	1096	2	4226	3	4226
729	1096	0	4231	4	4231
730	1096	0	4243	0	4243
731	1096	0	4249	1	4249
732	1098	2	4255	2	4255
733	1101	3	4260	3	4260
734	1101	0	4264	4	4264
735	1101	0	4273	0	4273
736	1102	1	4279	1	4279
737	1105	3	4283	2	4283
738	1105	0	4287	3	4287
739	1108	3	4294	4	4294
740	1108	0	4299	0	4299
741	1109	1	4308	1	4308
742	1112	3	4312	2	4312
743	1115	3	4316	3	4316
744	1117	2	4320	4	4320
745	1117	0	4326	0	4326
746	1117	0	4338	1	4338
747	1119	2	4344	2	4344
748	1122	3	4349	3	4349
749	1124	2	4353	4	4353
750	1124	0	4359	0	4359
751	1125	1	4376	1	4376
752	1128	3	4380	2	4380
753	1130	2	4384	3	4384
754	1132	2	4389	4	4389
755	1132	0	4395	0	4395
756	1133	1	4401	1	4401
757	1136	3	4405	2	4405
758	1139	3	4409	3	4409
759	1139	0	4413	4	4413
760	1139	0	4424	0	4424
761	1140	1	4430	1	4430
762	1142	2	4434	2	4434
763	1144	2	4439	3	4439
764	1144	0	4444	4	4444
765	1146	2	4452	0	4452
766	1147	1	4456	1	4456
767	1150	3	4460	2	4460
768	1153	3	4464	3	4464
769	1153	0	4468	4	4468
770	1153	0	4483	0	4483
771	1154	1	4489	1	4489
772	1157	3	4493	2	4493
773	1160	3	4497	3	4497
774	1162	2	4501	4	4501
775	1162	0	4507	0	4507
776	1162	0	4519	1	4519
777	1164	2	4525	2	4525
778	1167	3	4530	3	4530
779	1167	0	4534	4	4534
780	1167	0	4549	0	4549
781	1168	1	4555	1	4555
782	1171	3	4559	2	4559
783	1171	0	4563	3	4563
784	1174	3	4570	4	4570
785	1174	0	4575	0	4575
786	1175	1	4582	1	4582
787	1178	3	4586	2	4586
788	1181	3	4590	3	4590
789	1181	0	4594	4	4594
790	1181	0	4602	0	4602
791	1182	1	4616	1	4616
792	1185	3	4620	2	4620
793	1185	0	4624	3	4624
794	1186	1	4634	4	4634
795	1187	1	4641	0	4641
796	1187	0	4646	1	4646
797	1189	2	4651	2	4651
798	1192	3	4656	3	4656
799	1192	0	4660	4	4660
800	1192	0	4669	0	4669
801	1193	1	4675	1	4675
802	1196	3	4679	2	4679
803	1199	3	4683	3	4683
804	1201	2	4687	4	4687
805	1201	0	4693	0	4693
806	1202	1	4701	1	4701
807	1204	2	4705	2	4705
808	1206	2	4710	3	4710
809	1208	2	4715	4	4715
810	1208	0	4721	0	4721
811	1209	1	4729	1	4729
812	1212	3	4733	2	4733
813	1214	2	4737	3	4737
814	1216	2	4742	4	4742
815	1218	2	4748	0	4748
816	1219	1	4752	1	4752
817	1222	3	4756	2	4756
818	1222	0	4760	3	4760
819	1226	4	4767	4	4767
820	1226	0	4771	0	4771
821	1226	0	4779	1	4779
822	1228	2	4785	2	4785
823	1230	2	4790	3	4790
824	1231	1	4795	4	4795
825	1231	0	4802	0	4802
826	1232	1	4812	1	4812
827	1234	2	4816	2	4816
828	1236	2	4821	3	4821
829	1240	4	4826	4	4826
830	1242	2	4830	0	4830
831	1243	1	4834	1	4834
832	1246	3	4838	2	4838
833	1249	3	4842	3	4842
834	1251	2	4846	4	4846
835	1251	0	4852	0	4852
836	1251	0	4875	1	4875
837	1251	0	4885	2	4885
838	1254	3	4894	3	4894
839	1254	0	4898	4	4898
840	1254	0	4908	0	4908
841	1255	1	4917	1	4917
842	1258	3	4921	2	4921
843	1258	0	4925	3	4925
844	1260	2	4932	4	4932
845	1262	2	4938	0	4938
846	1263	1	4942	1	4942
847	1266	3	4946	2	4946
848	1269	3	4950	3	4950
849	1271	2	4954	4	4954
850	1273	2	4960	0	4960
851	1274	1	4964	1	4964
852	1277	3	4968	2	4968
853	1280	3	4972	3	4972
854	1282	2	4976	4	4976
855	1284	2	4982	0	4982
856	1285	1	4986	1	4986
857	1287	2	4990	2	4990
858	1289	2	4995	3	4995
859	1293	4	5000	4	5000
860	1293	0	5004	0	5004
861	1294	1	5014	1	5014
862	1296	2	5018	2	5018
863	1299	3	5023	3	5023
864	1299	0	5027	4	5027
865	1299	0	5036	0	5036
866	1300	1	5042	1	5042
867	1303	3	5046	2	5046
868	1306	3	5050	3	5050
869	1310	4	5054	4	5054
870	1310	0	5058	0	5058
871	1311	1	5078	1	5078
872	1311	0	5082	2	5082
873	1314	3	5093	3	5093
874	1314	0	5097	4	5097
875	1314	0	5108	0	5108
876	1315	1	5114	1	5114
877	1318	3	5118	2	5118
878	1320	2	5122	3	5122
879	1322	2	5127	4	5127
880	1322	0	5133	0	5133
881	1323	1	5141	1	5141
882	1326	3	5145	2	5145
883	1329	3	5149	3	5149
884	1329	0	5153	4	5153
885	1329	0	5163	0	5163
886	1330	1	5169	1	5169
887	1333	3	5173	2	5173
888	1336	3	5177	3	5177
889	1338	2	5181	4	5181
890	1340	2	5187	0	5187
891	1341	1	5191	1	5191
892	1344	3	5195	2	5195
893	1346	2	5199	3	5199
894	1348	2	5204	4	5204
895	1348	0	5210	0	5210
896	1349	1	5218	1	5218
897	1351	2	5222	2	5222
898	1352	1	5227	3	5227
899	1354	2	5233	4	5233
900	1354	0	5239	0	5239
901	1355	1	5245	1	5245
902	1358	3	5249	2	5249
903	1361	3	5253	3	5253
904	1363	2	5257	4	5257
905	1365	2	5263	0	5263
906	1365	0	5267	1	5267
907	1368	3	5275	2	5275
908	1370	2	5279	3	5279
909	1372	2	5284	4	5284
910	1374	2	5290	0	5290
911	1375	1	5294	1	5294
912	1378	3	5298	2	5298
913	1381	3	5302	3	5302
914	1383	2	5306	4	5306
915	1383	0	5312	0	5312
916	1384	1	5320	1	5320
917	1384	0	5324	2	5324
918	1387	3	5332	3	5332
919	1387	0	5336	4	5336
920	1389	2	5344	0	5344
921	1390	1	5348	1	5348
922	1393	3	5352	2	5352
923	1396	3	5356	3	5356
924	1400	4	5360	4	5360
925	1400	0	5364	0	5364
926	1401	1	5374	1	5374
927	1404	3	5378	2	5378
928	1404	0	5382	3	5382
929	1406	2	5389	4	5389
930	1406	0	5395	0	5395
931	1407	1	5401	1	5401
932	1410	3	5405	2	5405
933	1412	2	5409	3	5409
934	1412	0	5414	4	5414
935	1412	0	5434	0	5434
936	1413	1	5444	1	5444
937	1416	3	5448	2	5448
938	1416	0	5452	3	5452
939	1419	3	5459	4	5459
940	1419	0	5464	0	5464
941	1420	1	5477	1	5477
942	1420	0	5481	2	5481
943	1423	3	5490	3	5490
944	1425	2	5494	4	5494
945	1427	2	5500	0	5500
946	1428	1	5504	1	5504
947	1430	2	5508	2	5508
948	1432	2	5513	3	5513
949	1432	0	5518	4	5518
950	1434	2	5534	0	5534
951	1434	0	5538	1	5538
952	1437	3	5546	2	5546
953	1439	2	5550	3	5550
954	1439	0	5555	4	5555
955	1439	0	5567	0	5567
956	1440	1	5575	1	5575
957	1442	2	5579	2	5579
958	1445	3	5584	3	5584
959	1445	0	5588	4	5588
960	1445	0	5597	0	5597
961	1446	1	5603	1	5603
962	1448	2	5607	2	5607
963	1450	2	5612	3	5612
964	1450	0	5617	4	5617
965	1452	2	5625	0	5625
966	1452	0	5629	1	5629
967	1454	2	5635	2	5635
968	1456	2	5640	3	5640
969	1458	2	5645	4	5645
970	1458	0	5651	0	5651
971	1459	1	5659	1	5659
972	1459	0	5663	2	5663
973	1462	3	5670	3	5670
974	1462	0	5674	4	5674
975	1462	0	5688	0	5688
976	1463	1	5694	1	5694
977	1465	2	5698	2	5698
978	1466	1	5703	3	5703
979	1468	2	5709	4	5709
980	1468	0	5715	0	5715
981	1469	1	5723	1	5723
982	1471	2	5727	2	5727
983	1472	1	5732	3	5732
984	1475	3	5738	4	5738
985	1475	0	5743	0	5743
986	1475	0	5752	1	5752
987	1476	1	5759	2	5759
988	1479	3	5765	3	5765
989	1479	0	5769	4	5769
990	1479	0	5782	0	5782
991	1480	1	5788	1	5788
992	1483	3	5792	2	5792
993	1486	3	5796	3	5796
994	1490	4	5800	4	5800
995	1490	0	5804	0	5804
996	1490	0	5823	1	5823
997	1490	0	5833	2	5833
