i	height	delta	push_m	rock_m	push_i
109	167	0	656	4	656
110	168	1	662	0	662
111	171	3	666	1	666
112	174	3	670	2	670
113	178	4	674	3	674
114	178	0	678	4	678
115	179	1	688	0	688
116	181	2	692	1	692
117	183	2	697	2	697
118	185	2	702	3	702
119	185	0	708	4	708
120	186	1	718	0	718
121	188	2	722	1	722
122	190	2	727	2	727
123	192	2	732	3	732
124	194	2	738	4	738
125	195	1	742	0	742
126	197	2	746	1	746
127	199	2	751	2	751
128	203	4	756	3	756
129	205	2	760	4	760
130	205	0	764	0	764
131	205	0	776	1	776
132	205	0	787	2	787
133	206	1	795	3	795
134	208	2	802	4	802
135	209	1	806	0	806
136	212	3	810	1	810
137	214	2	814	2	814
138	218	4	819	3	819
139	220	2	823	4	823
140	221	1	827	0	827
141	224	3	831	1	831
142	224	0	835	2	835
143	227	3	842	3	842
144	227	0	847	4	847
145	227	0	854	0	854
146	229	2	859	1	859
147	230	1	864	2	864
148	232	2	870	3	870
149	232	0	876	4	876
150	233	1	882	0	882
151	235	2	886	1	886
152	236	1	891	2	891
153	240	4	897	3	897
154	240	0	901	4	901
155	240	0	910	0	910
156	242	2	917	1	917
157	242	0	922	2	922
158	243	1	930	3	930
159	243	0	937	4	937
160	244	1	945	0	945
161	246	2	949	1	949
162	247	1	954	2	954
163	250	3	960	3	960
164	250	0	965	4	965
165	251	1	972	0	972
166	254	3	976	1	976
167	257	3	980	2	980
168	257	0	984	3	984
169	257	0	1000	4	1000
170	258	1	1006	0	1006
171	261	3	1010	1	1010
172	261	0	1014	2	1014
173	261	0	1021	3	1021
174	263	2	1035	4	1035
175	264	1	1039	0	1039
176	266	2	1043	1	1043
177	269	3	1048	2	1048
178	269	0	1052	3	1052
179	269	0	1065	4	1065
180	270	1	1073	0	1073
181	272	2	1077	1	1077
182	273	1	1082	2	1082
183	276	3	1088	3	1088
184	278	2	1093	4	1093
185	279	1	1097	0	1097
186	281	2	1101	1	1101
187	283	2	1106	2	1106
188	285	2	1111	3	1111
189	287	2	1117	4	1117
190	288	1	1121	0	1121
191	290	2	1125	1	1125
192	292	2	1130	2	1130
193	294	2	1135	3	1135
194	296	2	1141	4	1141
195	297	1	1145	0	1145
196	300	3	1149	1	1149
197	302	2	1153	2	1153
198	304	2	1158	3	1158
199	304	0	1164	4	1164
200	305	1	1170	0	1170
201	308	3	1174	1	1174
202	311	3	1178	2	1178
203	311	0	1182	3	1182
204	311	0	1192	4	1192
205	312	1	1198	0	1198
206	315	3	1202	1	1202
207	315	0	1206	2	1206
208	315	0	1213	3	1213
209	317	2	1232	4	1232
210	318	1	1236	0	1236
211	320	2	1240	1	1240
212	323	3	1245	2	1245
213	323	0	1249	3	1249
214	323	0	1258	4	1258
215	324	1	1267	0	1267
216	326	2	1271	1	1271
217	327	1	1276	2	1276
218	329	2	1282	3	1282
219	329	0	1288	4	1288
220	330	1	1296	0	1296
221	333	3	1300	1	1300
222	335	2	1304	2	1304
223	335	0	1309	3	1309
224	335	0	1344	4	1344
225	336	1	1350	0	1350
226	338	2	1354	1	1354
227	339	1	1359	2	1359
228	341	2	1365	3	1365
229	341	0	1371	4	1371
230	342	1	1379	0	1379
231	345	3	1383	1	1383
232	348	3	1387	2	1387
233	348	0	1391	3	1391
234	348	0	1401	4	1401
235	349	1	1407	0	1407
236	352	3	1411	1	1411
237	355	3	1415	2	1415
238	357	2	1419	3	1419
239	357	0	1425	4	1425
240	358	1	1433	0	1433
241	360	2	1437	1	1437
242	363	3	1442	2	1442
243	367	4	1446	3	1446
244	369	2	1450	4	1450
245	370	1	1454	0	1454
246	373	3	1458	1	1458
247	376	3	1462	2	1462
248	380	4	1466	3	1466
249	380	0	1470	4	1470
250	381	1	1480	0	1480
251	384	3	1484	1	1484
252	384	0	1488	2	1488
253	388	4	1495	3	1495
254	388	0	1499	4	1499
255	389	1	1507	0	1507
256	391	2	1511	1	1511
257	393	2	1516	2	1516
258	395	2	1521	3	1521
259	397	2	1527	4	1527
260	398	1	1531	0	1531
261	398	0	1535	1	1535
262	401	3	1545	2	1545
263	403	2	1549	3	1549
264	403	0	1555	4	1555
265	404	1	1561	0	1561
266	404	0	1565	1	1565
267	407	3	1576	2	1576
268	408	1	1580	3	1580
269	408	0	1587	4	1587
270	408	0	1594	0	1594
271	411	3	1599	1	1599
272	414	3	1603	2	1603
273	416	2	1607	3	1607
274	416	0	1613	4	1613
275	417	1	1625	0	1625
276	419	2	1629	1	1629
277	421	2	1634	2	1634
278	421	0	1639	3	1639
279	423	2	1647	4	1647
280	423	0	1651	0	1651
281	426	3	1657	1	1657
282	428	2	1661	2	1661
283	432	4	1666	3	1666
284	432	0	1670	4	1670
285	433	1	1680	0	1680
286	435	2	1684	1	1684
287	438	3	1689	2	1689
288	442	4	1693	3	1693
289	444	2	1697	4	1697
290	445	1	1701	0	1701
291	447	2	1705	1	1705
292	448	1	1710	2	1710
293	450	2	1716	3	1716
294	450	0	1722	4	1722
295	450	0	1729	0	1729
296	452	2	1734	1	1734
297	454	2	1739	2	1739
298	456	2	1744	3	1744
299	458	2	1750	4	1750
300	459	1	1754	0	1754
301	461	2	1758	1	1758
302	463	2	1763	2	1763
303	463	0	1768	3	1768
304	463	0	1785	4	1785
305	464	1	1791	0	1791
306	467	3	1795	1	1795
307	470	3	1799	2	1799
308	470	0	1803	3	1803
309	470	0	1813	4	1813
310	470	0	1819	0	1819
311	472	2	1825	1	1825
312	474	2	1830	2	1830
313	474	0	1835	3	1835
314	476	2	1843	4	1843
315	477	1	1847	0	1847
316	479	2	1851	1	1851
317	480	1	1856	2	1856
318	480	0	1862	3	1862
319	480	0	1874	4	1874
320	481	1	1880	0	1880
321	481	0	1884	1	1884
322	484	3	1891	2	1891
323	488	4	1895	3	1895
324	490	2	1899	4	1899
325	491	1	1903	0	1903
326	494	3	1907	1	1907
327	497	3	1911	2	1911
328	499	2	1915	3	1915
329	501	2	1921	4	1921
330	502	1	1925	0	1925
331	505	3	1929	1	1929
332	507	2	1933	2	1933
333	508	1	1938	3	1938
334	508	0	1945	4	1945
335	509	1	1956	0	1956
336	511	2	1960	1	1960
337	512	1	1965	2	1965
338	516	4	1971	3	1971
339	518	2	1975	4	1975
340	519	1	1979	0	1979
341	520	1	1983	1	1983
342	522	2	1989	2	1989
343	524	2	1994	3	1994
344	524	0	2000	4	2000
345	525	1	2008	0	2008
346	528	3	2012	1	2012
347	530	2	2016	2	2016
348	532	2	2021	3	2021
349	532	0	2027	4	2027
350	533	1	2038	0	2038
351	536	3	2042	1	2042
352	539	3	2046	2	2046
353	539	0	2050	3	2050
354	539	0	2066	4	2066
355	540	1	2072	0	2072
356	543	3	2076	1	2076
357	545	2	2080	2	2080
358	547	2	2085	3	2085
359	547	0	2091	4	2091
360	548	1	2097	0	2097
361	551	3	2101	1	2101
362	554	3	2105	2	2105
363	554	0	2109	3	2109
364	554	0	2119	4	2119
365	555	1	2125	0	2125
366	558	3	2129	1	2129
367	558	0	2133	2	2133
368	560	2	2140	3	2140
369	560	0	2146	4	2146
370	561	1	2152	0	2152
371	564	3	2156	1	2156
372	566	2	2160	2	2160
373	568	2	2165	3	2165
374	568	0	2171	4	2171
375	569	1	2177	0	2177
376	571	2	2181	1	2181
377	572	1	2186	2	2186
378	574	2	2192	3	2192
379	576	2	2198	4	2198
380	576	0	2202	0	2202
381	578	2	2210	1	2210
382	581	3	2215	2	2215
383	581	0	2219	3	2219
384	581	0	2234	4	2234
385	582	1	2240	0	2240
386	584	2	2244	1	2244
387	587	3	2249	2	2249
388	587	0	2253	3	2253
389	587	0	2262	4	2262
390	588	1	2268	0	2268
391	591	3	2272	1	2272
392	594	3	2276	2	2276
393	598	4	2280	3	2280
394	598	0	2284	4	2284
395	599	1	2294	0	2294
396	602	3	2298	1	2298
397	605	3	2302	2	2302
398	609	4	2306	3	2306
399	611	2	2310	4	2310
400	611	0	2314	0	2314
401	611	0	2326	1	2326
402	611	0	2337	2	2337
403	612	1	2345	3	2345
404	613	1	2352	4	2352
405	613	0	2357	0	2357
406	616	3	2362	1	2362
407	619	3	2366	2	2366
408	621	2	2370	3	2370
409	621	0	2376	4	2376
410	622	1	2382	0	2382
411	625	3	2386	1	2386
412	628	3	2390	2	2390
413	628	0	2394	3	2394
414	628	0	2411	4	2411
415	629	1	2417	0	2417
416	632	3	2421	1	2421
417	632	0	2425	2	2425
418	636	4	2432	3	2432
419	636	0	2436	4	2436
420	636	0	2445	0	2445
421	637	1	2452	1	2452
422	640	3	2458	2	2458
423	642	2	2462	3	2462
424	642	0	2468	4	2468
425	643	1	2476	0	2476
426	646	3	2480	1	2480
427	649	3	2484	2	2484
428	649	0	2488	3	2488
429	649	0	2498	4	2498
430	650	1	2504	0	2504
431	653	3	2508	1	2508
432	655	2	2512	2	2512
433	656	1	2517	3	2517
434	656	0	2524	4	2524
435	656	0	2531	0	2531
436	659	3	2536	1	2536
437	662	3	2540	2	2540
438	666	4	2544	3	2544
439	668	2	2548	4	2548
440	669	1	2552	0	2552
441	672	3	2556	1	2556
442	674	2	2560	2	2560
443	678	4	2565	3	2565
444	678	0	2569	4	2569
445	679	1	2580	0	2580
446	682	3	2584	1	2584
447	682	0	2588	2	2588
448	686	4	2595	3	2595
449	686	0	2599	4	2599
450	686	0	2607	0	2607
451	688	2	2613	1	2613
452	691	3	2618	2	2618
453	695	4	2622	3	2622
454	695	0	2626	4	2626
455	696	1	2640	0	2640
456	699	3	2644	1	2644
457	701	2	2648	2	2648
458	703	2	2653	3	2653
459	703	0	2659	4	2659
460	704	1	2667	0	2667
461	707	3	2671	1	2671
462	707	0	2675	2	2675
463	709	2	2682	3	2682
464	711	2	2688	4	2688
465	712	1	2692	0	2692
466	714	2	2696	1	2696
467	715	1	2701	2	2701
468	717	2	2707	3	2707
469	717	0	2713	4	2713
470	718	1	2720	0	2720
471	718	0	2724	1	2724
472	721	3	2731	2	2731
473	722	1	2735	3	2735
474	724	2	2742	4	2742
475	725	1	2746	0	2746
476	728	3	2750	1	2750
477	731	3	2754	2	2754
478	733	2	2758	3	2758
479	733	0	2764	4	2764
480	734	1	2776	0	2776
481	736	2	2780	1	2780
482	739	3	2785	2	2785
483	741	2	2789	3	2789
484	743	2	2795	4	2795
485	744	1	2799	0	2799
486	744	0	2803	1	2803
487	747	3	2812	2	2812
488	748	1	2816	3	2816
489	748	0	2823	4	2823
490	748	0	2833	0	2833
491	751	3	2838	1	2838
492	751	0	2842	2	2842
493	754	3	2849	3	2849
494	756	2	2854	4	2854
495	757	1	2858	0	2858
496	760	3	2862	1	2862
497	760	0	2866	2	2866
498	764	4	2873	3	2873
499	764	0	2877	4	2877
500	764	0	2885	0	2885
501	766	2	2891	1	2891
502	766	0	2896	2	2896
503	768	2	2903	3	2903
504	770	2	2909	4	2909
505	771	1	2913	0	2913
506	773	2	2917	1	2917
507	776	3	2922	2	2922
508	776	0	2926	3	2926
509	776	0	2935	4	2935
510	777	1	2941	0	2941
511	780	3	2945	1	2945
512	783	3	2949	2	2949
513	783	0	2953	3	2953
514	783	0	2964	4	2964
515	783	0	2974	0	2974
516	785	2	2980	1	2980
517	787	2	2985	2	2985
518	789	2	2990	3	2990
519	789	0	2996	4	2996
520	790	1	3005	0	3005
521	793	3	3009	1	3009
522	793	0	3013	2	3013
523	796	3	3020	3	3020
524	798	2	3025	4	3025
525	799	1	3029	0	3029
526	801	2	3033	1	3033
527	803	2	3038	2	3038
528	805	2	3043	3	3043
529	805	0	3049	4	3049
530	805	0	3057	0	3057
531	807	2	3063	1	3063
532	809	2	3068	2	3068
533	809	0	3073	3	3073
534	811	2	3099	4	3099
535	812	1	3103	0	3103
536	812	0	3107	1	3107
537	815	3	3117	2	3117
538	816	1	3121	3	3121
539	816	0	3128	4	3128
540	816	0	3135	0	3135
541	819	3	3140	1	3140
542	822	3	3144	2	3144
543	826	4	3148	3	3148
544	826	0	3152	4	3152
545	826	0	3162	0	3162
546	828	2	3170	1	3170
547	831	3	3175	2	3175
548	831	0	3179	3	3179
549	831	0	3191	4	3191
550	831	0	3199	0	3199
551	832	1	3205	1	3205
552	835	3	3211	2	3211
553	839	4	3215	3	3215
554	839	0	3219	4	3219
555	839	0	3229	0	3229
556	839	0	3237	1	3237
557	842	3	3244	2	3244
558	842	0	3248	3	3248
559	842	0	3256	4	3256
560	843	1	3262	0	3262
561	846	3	3266	1	3266
562	848	2	3270	2	3270
563	849	1	3275	3	3275
564	850	1	3282	4	3282
565	851	1	3287	0	3287
566	854	3	3291	1	3291
567	854	0	3295	2	3295
568	854	0	3302	3	3302
569	856	2	3314	4	3314
570	857	1	3318	0	3318
571	860	3	3322	1	3322
572	862	2	3326	2	3326
573	864	2	3331	3	3331
574	864	0	3337	4	3337
575	865	1	3345	0	3345
576	868	3	3349	1	3349
577	870	2	3353	2	3353
578	870	0	3358	3	3358
579	870	0	3380	4	3380
580	871	1	3386	0	3386
581	874	3	3390	1	3390
582	876	2	3394	2	3394
583	877	1	3399	3	3399
584	879	2	3406	4	3406
585	880	1	3410	0	3410
586	882	2	3414	1	3414
587	883	1	3419	2	3419
588	885	2	3425	3	3425
589	887	2	3431	4	3431
590	888	1	3435	0	3435
591	891	3	3439	1	3439
592	894	3	3443	2	3443
593	894	0	3447	3	3447
594	894	0	3457	4	3457
595	895	1	3463	0	3463
596	898	3	3467	1	3467
597	900	2	3471	2	3471
598	901	1	3476	3	3476
599	902	1	3483	4	3483
600	903	1	3488	0	3488
601	906	3	3492	1	3492
602	909	3	3496	2	3496
603	911	2	3500	3	3500
604	913	2	3506	4	3506
605	914	1	3510	0	3510
606	917	3	3514	1	3514
607	917	0	3518	2	3518
608	920	3	3525	3	3525
609	920	0	3530	4	3530
610	921	1	3539	0	3539
611	924	3	3543	1	3543
612	926	2	3547	2	3547
613	928	2	3552	3	3552
614	928	0	3558	4	3558
615	929	1	3564	0	3564
616	931	2	3568	1	3568
617	932	1	3573	2	3573
618	934	2	3579	3	3579
619	934	0	3585	4	3585
620	935	1	3592	0	3592
621	938	3	3596	1	3596
622	940	2	3600	2	3600
623	941	1	3605	3	3605
624	942	1	3612	4	3612
625	943	1	3617	0	3617
626	945	2	3621	1	3621
627	947	2	3626	2	3626
628	949	2	3631	3	3631
629	949	0	3637	4	3637
630	950	1	3646	0	3646
631	953	3	3650	1	3650
632	953	0	3654	2	3654
633	955	2	3661	3	3661
634	957	2	3667	4	3667
635	958	1	3671	0	3671
636	961	3	3675	1	3675
637	963	2	3679	2	3679
638	965	2	3684	3	3684
639	965	0	3690	4	3690
640	966	1	3706	0	3706
641	968	2	3710	1	3710
642	969	1	3715	2	3715
643	972	3	3721	3	3721
644	972	0	3726	4	3726
645	973	1	3735	0	3735
646	976	3	3739	1	3739
647	976	0	3743	2	3743
648	980	4	3750	3	3750
649	982	2	3754	4	3754
650	983	1	3758	0	3758
651	986	3	3762	1	3762
652	989	3	3766	2	3766
653	989	0	3770	3	3770
654	991	2	3788	4	3788
655	992	1	3792	0	3792
656	995	3	3796	1	3796
657	998	3	3800	2	3800
658	1000	2	3804	3	3804
659	1002	2	3810	4	3810
660	1002	0	3814	0	3814
661	1002	0	3822	1	3822
662	1005	3	3829	2	3829
663	1007	2	3833	3	3833
664	1007	0	3839	4	3839
665	1008	1	3847	0	3847
666	1011	3	3851	1	3851
667	1013	2	3855	2	3855
668	1017	4	3860	3	3860
669	1017	0	3864	4	3864
670	1018	1	3874	0	3874
671	1018	0	3878	1	3878
672	1021	3	3890	2	3890
673	1021	0	3894	3	3894
674	1023	2	3907	4	3907
675	1024	1	3911	0	3911
676	1026	2	3915	1	3915
677	1029	3	3920	2	3920
678	1029	0	3924	3	3924
679	1031	2	3933	4	3933
680	1032	1	3937	0	3937
681	1033	1	3941	1	3941
682	1036	3	3947	2	3947
683	1040	4	3951	3	3951
684	1040	0	3955	4	3955
685	1040	0	3965	0	3965
686	1042	2	3977	1	3977
687	1042	0	3982	2	3982
688	1042	0	3995	3	3995
689	1044	2	4007	4	4007
690	1044	0	4011	0	4011
691	1045	1	4018	1	4018
692	1048	3	4024	2	4024
693	1052	4	4028	3	4028
694	1052	0	4032	4	4032
695	1053	1	4042	0	4042
696	1056	3	4046	1	4046
697	1056	0	4050	2	4050
698	1056	0	4057	3	4057
699	1058	2	4073	4	4073
700	1058	0	4077	0	4077
701	1061	3	4083	1	4083
702	1064	3	4087	2	4087
703	1064	0	4091	3	4091
704	1064	0	4102	4	4102
705	1065	1	4108	0	4108
706	1068	3	4112	1	4112
707	1068	0	4116	2	4116
708	1070	2	4123	3	4123
709	1070	0	4129	4	4129
710	1070	0	4135	0	4135
711	1072	2	4141	1	4141
712	1074	2	4146	2	4146
713	1075	1	4151	3	4151
714	1075	0	4158	4	4158
715	1076	1	4165	0	4165
716	1077	1	4169	1	4169
717	1079	2	4175	2	4175
718	1080	1	4180	3	4180
719	1082	2	4187	4	4187
720	1083	1	4191	0	4191
721	1086	3	4195	1	4195
722	1088	2	4199	2	4199
723	1090	2	4204	3	4204
724	1090	0	4210	4	4210
725	1091	1	4218	0	4218
726	1094	3	4222	1	4222
727	1096	2	4226	2	4226
728	1096	0	4231	3	4231
729	1096	0	4243	4	4243
730	1096	0	4249	0	4249
731	1098	2	4255	1	4255
732	1101	3	4260	2	4260
733	1101	0	4264	3	4264
734	1101	0	4273	4	4273
735	1102	1	4279	0	4279
736	1105	3	4283	1	4283
737	1105	0	4287	2	4287
738	1108	3	4294	3	4294
739	1108	0	4299	4	4299
740	1109	1	4308	0	4308
741	1112	3	4312	1	4312
742	1115	3	4316	2	4316
743	1117	2	4320	3	4320
744	1117	0	4326	4	4326
745	1117	0	4338	0	4338
746	1119	2	4344	1	4344
747	1122	3	4349	2	4349
748	1124	2	4353	3	4353
749	1124	0	4359	4	4359
750	1125	1	4376	0	4376
751	1128	3	4380	1	4380
752	1130	2	4384	2	4384
753	1132	2	4389	3	4389
754	1132	0	4395	4	4395
755	1133	1	4401	0	4401
756	1136	3	4405	1	4405
757	1139	3	4409	2	4409
758	1139	0	4413	3	4413
759	1139	0	4424	4	4424
760	1140	1	4430	0	4430
761	1142	2	4434	1	4434
762	1144	2	4439	2	4439
763	1144	0	4444	3	4444
764	1146	2	4452	4	4452
765	1147	1	4456	0	4456
766	1150	3	4460	1	4460
767	1153	3	4464	2	4464
768	1153	0	4468	3	4468
769	1153	0	4483	4	4483
770	1154	1	4489	0	4489
771	1157	3	4493	1	4493
772	1160	3	4497	2	4497
773	1162	2	4501	3	4501
774	1162	0	4507	4	4507
775	1162	0	4519	0	4519
776	1164	2	4525	1	4525
777	1167	3	4530	2	4530
778	1167	0	4534	3	4534
779	1167	0	4549	4	4549
780	1168	1	4555	0	4555
781	1171	3	4559	1	4559
782	1171	0	4563	2	4563
783	1174	3	4570	3	4570
784	1174	0	4575	4	4575
785	1175	1	4582	0	4582
786	1178	3	4586	1	4586
787	1181	3	4590	2	4590
788	1181	0	4594	3	4594
789	1181	0	4602	4	4602
790	1182	1	4616	0	4616
791	1185	3	4620	1	4620
792	1185	0	4624	2	4624
793	1186	1	4634	3	4634
794	1187	1	4641	4	4641
795	1187	0	4646	0	4646
796	1189	2	4651	1	4651
797	1192	3	4656	2	4656
798	1192	0	4660	3	4660
799	1192	0	4669	4	4669
800	1193	1	4675	0	4675
801	1196	3	4679	1	4679
802	1199	3	4683	2	4683
803	1201	2	4687	3	4687
804	1201	0	4693	4	4693
805	1202	1	4701	0	4701
806	1204	2	4705	1	4705
807	1206	2	4710	2	4710
808	1208	2	4715	3	4715
809	1208	0	4721	4	4721
810	1209	1	4729	0	4729
811	1212	3	4733	1	4733
812	1214	2	4737	2	4737
813	1216	2	4742	3	4742
814	1218	2	4748	4	4748
815	1219	1	4752	0	4752
816	1222	3	4756	1	4756
817	1222	0	4760	2	4760
818	1226	4	4767	3	4767
819	1226	0	4771	4	4771
820	1226	0	4779	0	4779
821	1228	2	4785	1	4785
822	1230	2	4790	2	4790
823	1231	1	4795	3	4795
824	1231	0	4802	4	4802
825	1232	1	4812	0	4812
826	1234	2	4816	1	4816
827	1236	2	4821	2	4821
828	1240	4	4826	3	4826
829	1242	2	4830	4	4830
830	1243	1	4834	0	4834
831	1246	3	4838	1	4838
832	1249	3	4842	2	4842
833	1251	2	4846	3	4846
834	1251	0	4852	4	4852
835	1251	0	4875	0	4875
836	1251	0	4885	1	4885
837	1254	3	4894	2	4894
838	1254	0	4898	3	4898
839	1254	0	4908	4	4908
840	1255	1	4917	0	4917
841	1258	3	4921	1	4921
842	1258	0	4925	2	4925
843	1260	2	4932	3	4932
844	1262	2	4938	4	4938
845	1263	1	4942	0	4942
846	1266	3	4946	1	4946
847	1269	3	4950	2	4950
848	1271	2	4954	3	4954
849	1273	2	4960	4	4960
850	1274	1	4964	0	4964
851	1277	3	4968	1	4968
852	1280	3	4972	2	4972
853	1282	2	4976	3	4976
854	1284	2	4982	4	4982
855	1285	1	4986	0	4986
856	1287	2	4990	1	4990
857	1289	2	4995	2	4995
858	1293	4	5000	3	5000
859	1293	0	5004	4	5004
860	1294	1	5014	0	5014
861	1296	2	5018	1	5018
862	1299	3	5023	2	5023
863	1299	0	5027	3	5027
864	1299	0	5036	4	5036
865	1300	1	5042	0	5042
866	1303	3	5046	1	5046
867	1306	3	5050	2	5050
868	1310	4	5054	3	5054
869	1310	0	5058	4	5058
870	1311	1	5078	0	5078
871	1311	0	5082	1	5082
872	1314	3	5093	2	5093
873	1314	0	5097	3	5097
874	1314	0	5108	4	5108
875	1315	1	5114	0	5114
876	1318	3	5118	1	5118
877	1320	2	5122	2	5122
878	1322	2	5127	3	5127
879	1322	0	5133	4	5133
880	1323	1	5141	0	5141
881	1326	3	5145	1	5145
882	1329	3	5149	2	5149
883	1329	0	5153	3	5153
884	1329	0	5163	4	5163
885	1330	1	5169	0	5169
886	1333	3	5173	1	5173
887	1336	3	5177	2	5177
888	1338	2	5181	3	5181
889	1340	2	5187	4	5187
890	1341	1	5191	0	5191
891	1344	3	5195	1	5195
892	1346	2	5199	2	5199
893	1348	2	5204	3	5204
894	1348	0	5210	4	5210
895	1349	1	5218	0	5218
896	1351	2	5222	1	5222
897	1352	1	5227	2	5227
898	1354	2	5233	3	5233
899	1354	0	5239	4	5239
900	1355	1	5245	0	5245
901	1358	3	5249	1	5249
902	1361	3	5253	2	5253
903	1363	2	5257	3	5257
904	1365	2	5263	4	5263
905	1365	0	5267	0	5267
906	1368	3	5275	1	5275
907	1370	2	5279	2	5279
908	1372	2	5284	3	5284
909	1374	2	5290	4	5290
910	1375	1	5294	0	5294
911	1378	3	5298	1	5298
912	1381	3	5302	2	5302
913	1383	2	5306	3	5306
914	1383	0	5312	4	5312
915	1384	1	5320	0	5320
916	1384	0	5324	1	5324
917	1387	3	5332	2	5332
918	1387	0	5336	3	5336
919	1389	2	5344	4	5344
920	1390	1	5348	0	5348
921	1393	3	5352	1	5352
922	1396	3	5356	2	5356
923	1400	4	5360	3	5360
924	1400	0	5364	4	5364
925	1401	1	5374	0	5374
926	1404	3	5378	1	5378
927	1404	0	5382	2	5382
928	1406	2	5389	3	5389
929	1406	0	5395	4	5395
930	1407	1	5401	0	5401
931	1410	3	5405	1	5405
932	1412	2	5409	2	5409
933	1412	0	5414	3	5414
934	1412	0	5434	4	5434
935	1413	1	5444	0	5444
936	1416	3	5448	1	5448
937	1416	0	5452	2	5452
938	1419	3	5459	3	5459
939	1419	0	5464	4	5464
940	1420	1	5477	0	5477
941	1420	0	5481	1	5481
942	1423	3	5490	2	5490
943	1425	2	5494	3	5494
944	1427	2	5500	4	5500
945	1428	1	5504	0	5504
946	1430	2	5508	1	5508
947	1432	2	5513	2	5513
948	1432	0	5518	3	5518
949	1434	2	5534	4	5534
950	1434	0	5538	0	5538
951	1437	3	5546	1	5546
952	1439	2	5550	2	5550
953	1439	0	5555	3	5555
954	1439	0	5567	4	5567
955	1440	1	5575	0	5575
956	1442	2	5579	1	5579
957	1445	3	5584	2	5584
958	1445	0	5588	3	5588
959	1445	0	5597	4	5597
960	1446	1	5603	0	5603
961	1448	2	5607	1	5607
962	1450	2	5612	2	5612
963	1450	0	5617	3	5617
964	1452	2	5625	4	5625
965	1452	0	5629	0	5629
966	1454	2	5635	1	5635
967	1456	2	5640	2	5640
968	1458	2	5645	3	5645
969	1458	0	5651	4	5651
970	1459	1	5659	0	5659
971	1459	0	5663	1	5663
972	1462	3	5670	2	5670
973	1462	0	5674	3	5674
974	1462	0	5688	4	5688
975	1463	1	5694	0	5694
976	1465	2	5698	1	5698
977	1466	1	5703	2	5703
978	1468	2	5709	3	5709
979	1468	0	5715	4	5715
980	1469	1	5723	0	5723
981	1471	2	5727	1	5727
982	1472	1	5732	2	5732
983	1475	3	5738	3	5738
984	1475	0	5743	4	5743
985	1475	0	5752	0	5752
986	1476	1	5759	1	5759
987	1479	3	5765	2	5765
988	1479	0	5769	3	5769
989	1479	0	5782	4	5782
990	1480	1	5788	0	5788
991	1483	3	5792	1	5792
992	1486	3	5796	2	5796
993	1490	4	5800	3	5800
994	1490	0	5804	4	5804
995	1490	0	5823	0	5823
996	1490	0	5833	1	5833
